수상분야,영화명,후보자,연도,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수
남우주연상,1987,김윤석,2018,장준환,(주)우정필름,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,"1,299","58,166,310,145","7,231,770","14,638,920,495","1,776,877"
남우주연상,버닝,유아인,2018,이창동,"파인하우스필름(주)?,?나우필름(주)",CGV아트하우스,2018-05-17,개봉영화,장편,한국,739,"4,714,345,098","528,153","1,765,445,398","194,098"
남우주연상,공작,이성민,2018,윤종빈,"(주)영화사 월광?,?(주)사나이픽처스",씨제이이앤엠(주),2018-08-08,개봉영화,장편,한국,"1,317","42,738,909,676","4,967,936","10,291,622,676","1,157,499"
남우주연상,암수살인,주지훈,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
남우주연상,신과함께-죄와 벌,하정우,2018,김용화,"리얼라이즈픽쳐스(주)?,?(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912","115,699,634,137","14,410,931","27,530,825,087","3,346,172"
여우주연상,리틀 포레스트,김태리,2018,임순례,(주)영화사수박,메가박스중앙(주)플러스엠,2018-02-28,개봉영화,장편,한국,884,"11,924,942,185","1,505,582","3,853,015,885","474,626"
여우주연상,허스토리,김희애,2018,민규동,(주)수필름,(주)넥스트엔터테인먼트월드(NEW),2018-06-27,개봉영화,장편,한국,696,"2,507,779,949","334,626","764,899,049","99,558"
여우주연상,너의 결혼식,박보영,2018,이석근,"(주)필름케이?,?(주)외유내강",메가박스중앙(주)플러스엠,2018-08-22,개봉영화,장편,한국,962,"23,646,937,069","2,816,621","5,843,135,919","665,677"
여우주연상,소공녀,이솜,2018,전고운,"광화문시네마?,?(주)모토",CGV아트하우스,2018-03-22,개봉영화,장편,한국,284,"469,303,200","58,653","236,153,600","28,592"
여우주연상,미쓰백,한지민,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
